frame.time_epoch,ip.src,ip.dst,ip.len,icmp.type,udp.dstport,udp.length,tcp.flags.syn,tcp.flags.ack,tcp.dstport,tcp.seq,tcp.ack,ip.ttl,arp.src.proto_ipv4,arp.dst.proto_ipv4,arp.opcode
"1746182617.993522000","192.168.45.101","34.36.137.203","68",,"443","48",,,,,,"64",,,
"1746182618.012179000","142.250.207.99","192.168.45.101","60",,,,"1","1","39588","0","1","119",,,
"1746182618.012223000","192.168.45.101","142.250.207.99","52",,,,"0","1","80","1","1","64",,,
"1746182618.012488000","192.168.45.101","142.250.207.99","494",,,,"0","1","80","1","1","64",,,
"1746182618.014866000","34.36.137.203","192.168.45.101","71",,"51848","51",,,,,,"53",,,
"1746182618.046155000","192.168.45.101","34.36.137.203","68",,"443","48",,,,,,"64",,,
"1746182618.073337000","34.36.137.203","192.168.45.101","71",,"51848","51",,,,,,"53",,,
"1746182618.081266000","142.250.207.99","192.168.45.101","52",,,,"0","1","39588","1","443","119",,,
"1746182618.093463000","192.168.45.101","34.36.137.203","68",,"443","48",,,,,,"64",,,
"1746182618.117468000","34.36.137.203","192.168.45.101","71",,"51848","51",,,,,,"53",,,
"1746182618.135958000","192.168.45.101","34.36.137.203","68",,"443","48",,,,,,"64",,,
"1746182618.145210000",,,,,,,,,,,,,"192.168.45.1","192.168.45.22","1"
"1746182618.145218000",,,,,,,,,,,,,"192.168.45.1","192.168.45.100","1"
"1746182618.155114000",,,,,,,,,,,,,"192.168.45.1","192.168.45.233","1"
"1746182618.155123000",,,,,,,,,,,,,"192.168.45.1","192.168.45.101","1"
"1746182618.155127000",,,,,,,,,,,,,"192.168.45.101","192.168.45.1","2"
"1746182618.155191000",,,,,,,,,,,,,"192.168.45.1","192.168.45.72","1"
"1746182618.155193000",,,,,,,,,,,,,"192.168.45.1","192.168.45.95","1"
"1746182618.155193000","34.36.137.203","192.168.45.101","71",,"51848","51",,,,,,"53",,,
"1746182618.166007000","192.168.45.101","210.220.163.82","94",,"53","74",,,,,,"64",,,
"1746182618.166369000","192.168.45.101","210.220.163.82","94",,"53","74",,,,,,"64",,,
"1746182618.169753000","192.168.45.101","142.250.207.99","60",,,,"1","0","80","0","0","64",,,
"1746182618.175346000","210.220.163.82","192.168.45.101","172",,"50312","152",,,,,,"248",,,
"1746182618.175348000","210.220.163.82","192.168.45.101","184",,"32927","164",,,,,,"248",,,
"1746182618.176804000","192.168.45.101","34.149.100.209","60",,,,"1","0","443","0","0","64",,,
"1746182618.178577000","192.168.45.101","34.36.137.203","68",,"443","48",,,,,,"64",,,
"1746182618.188294000","34.149.100.209","192.168.45.101","60",,,,"1","1","44972","0","1","116",,,
"1746182618.188327000","192.168.45.101","34.149.100.209","52",,,,"0","1","443","1","1","64",,,
"1746182618.188594000","192.168.45.101","34.149.100.209","274",,,,"0","1","443","1","1","64",,,
